PMCID,repo_url,is_empty,contains_readme,readme_purpose_and_outputs,contains_requirements,requirements_dependency_versions,contains_license,sufficient_code_documentation,is_modular_and_structured,implements_tests,fixes_seed_if_stochastic,lists_hardware_requirements,contains_link_to_paper,contains_citation,includes_data_or_sample
PMC11307559,https://seakheeoh76.shinyapps.io/XGBoost_BA_prediction,True,,,,,,,,,,,,,
PMC12121029,https://github.com/EnzhaoZhu/Common-risks-prediction-among-psychiatric-inpatients,False,True,True,True,True,False,False,True,False,False,False,False,False,False
PMC11701130,https://github.com/CalvinSMU/AiLES,True,True,False,False,,False,False,False,False,,False,True,True,False
PMC8175333,https://github.com/ATARIQ5,True,,,,,,,,,,,,,
PMC8932490,https://github.com/Aneja-Lab-Yale/Aneja-Lab-Public-Adversarial-Imaging,False,True,True,True,True,False,True,True,False,False,False,True,False,False
PMC11040883,https://github.com/laamit/champCalculator,False,True,True,True,True,True,False,True,True,False,False,False,False,True
PMC10545794,https://github.com/TheDecodeLab/Prediction_of_CDI_by_EHR_and_Genetics,False,True,False,False,,True,False,False,False,True,False,False,False,False
PMC10658003,https://github.com/IreneSophia/MLSPE,False,True,True,False,,False,True,True,False,False,False,False,True,False
PMC9720950,https://github.com/mi-erasmusmc/EmcDementiaModelValidation,False,True,True,False,,False,False,True,False,False,False,False,False,False
PMC9653436,https://github.com/Dexin-Chen/Pathomics-analysis,False,False,False,False,,False,False,False,False,True,False,False,False,False
PMC8881932,https://doi.org/10.5281/zenodo.4560078,False,True,False,True,True,True,True,True,False,True,False,False,False,True
PMC9898833,https://github.com/jacksoncoki/Emergency-data-processing,False,True,False,False,,False,True,True,False,False,True,False,False,False
PMC6413892,https://github.com/dt433/Predict-Prostate,False,False,False,False,,False,True,False,False,False,False,False,False,False
PMC9685866,https://doi.org/10.57770/QTYQZS,False,True,False,True,False,False,True,False,False,True,False,False,False,True
PMC6461273,https://osf.io/w7aes/,False,False,False,False,,False,True,False,False,True,False,False,False,False
PMC11624760,https://github.com/sersanmarsergio/SGA_prediction,False,True,True,False,,False,True,False,False,True,False,False,False,False
PMC9978473,https://github.com/putzfn/HNLNL_autosegmentation_trained_models,False,True,False,False,,True,False,True,False,False,False,False,False,False
PMC8593277,https://github.com/KosorokLab/CovidIBDRiskCalc,False,True,True,True,False,False,True,True,False,False,False,True,True,False
PMC9872743,https://github.com/JohnLeo-XJTU/PerLesionDet_for_Oph-The,False,True,True,False,,False,True,True,False,True,False,False,True,False
PMC11992218,https://www.cdc.gov/nchs/nhanes/index.htm,True,,,,,,,,,,,,,
PMC10844206,https://github.com/benli12345/LEO-ML-NSQIP,False,True,False,False,,False,True,False,False,True,False,False,False,False
PMC10844815,https://github.com/yiwangz/SS_learning/MLinHCT,True,,,,,,,,,,,,,
PMC7797735,https://github.com/carsaesi/covid19sdtool,False,True,True,False,,True,True,True,False,False,False,True,True,True
PMC10937994,https://github.com/bounassif/Adenoma-Detector,False,False,False,False,,True,False,True,False,False,False,False,False,False
PMC10491759,https://github.com/ShinyShine-820/LPAprediction,False,False,False,True,True,False,False,False,False,,False,False,False,False
PMC10077108,https://github.com/mgregorich/BEAt-DKD_PredeGFR,False,True,True,False,,False,True,True,False,True,False,False,True,False
PMC9913376,https://github.com/LFairleySmith/MyelomaPrediction,False,True,True,False,,False,True,True,False,False,False,True,True,False
PMC11257923,https://github.com/tsryo/evalFL,False,True,False,False,,True,False,True,False,False,False,False,False,False
PMC11938237,https://github.com/SCYAN0401/Predict-GC-LNM,False,True,False,False,,False,False,True,False,True,False,False,False,True
PMC11722487,https://github.com/weissman-lab/restriction,False,True,False,False,,False,False,True,False,True,False,False,False,False
PMC8784888,https://github.com/AkihiroShiroshita/Prediction-model-for-Pnuemonic-COPD-exacerbation.git,True,,,,,,,,,,,,,
PMC10955037,https://github.com/Exeter-Diabetes/CPRD-Pedro-SGLT2vsGLP1,False,True,True,False,,True,True,True,False,True,False,False,False,False
PMC10100433,https://github.com/damiankotevski/head-and-neck-cancer-specific-survival,False,True,True,False,,False,False,False,False,True,False,False,False,False
PMC8290951,https://github.com/mottenhoff/covid19_CDSS,False,True,True,True,True,False,False,True,False,False,False,False,False,False
PMC11827575,https://github.com/MGensheimer/prognosis-model,False,True,False,True,True,False,False,True,False,False,False,True,False,True
